"lineRef","stopPointRef","stopPointName","aimedDepartureTime","departureTime","aimedArrivalTime","arrivalTime","dayOfTheWeek"
"SKY:Line:3E","NSR:Quay:53115",,,,"{""value"":""2025-01-30T07:39:00.000Z""}","{""value"":""2025-01-30T07:42:27.000Z""}",4
"SKY:Line:3E","NSR:Quay:53115",,,,"{""value"":""2025-01-30T07:49:00.000Z""}","{""value"":""2025-01-30T07:50:27.000Z""}",4
"SKY:Line:3E","NSR:Quay:53115",,,,"{""value"":""2025-01-30T07:59:00.000Z""}","{""value"":""2025-01-30T08:02:19.000Z""}",4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T04:26:00.000Z""}","{""value"":""2025-01-30T04:26:21.000Z""}","{""value"":""2025-01-30T04:26:00.000Z""}","{""value"":""2025-01-30T04:26:05.000Z""}",4
"SKY:Line:4","NSR:Quay:53118",,"{""value"":""2025-01-30T04:36:00.000Z""}","{""value"":""2025-01-30T04:36:01.000Z""}","{""value"":""2025-01-30T04:36:00.000Z""}","{""value"":""2025-01-30T04:34:57.000Z""}",4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T04:46:00.000Z""}","{""value"":""2025-01-30T04:48:09.000Z""}","{""value"":""2025-01-30T04:46:00.000Z""}","{""value"":""2025-01-30T04:47:49.000Z""}",4
"SKY:Line:3","NSR:Quay:53115",,"{""value"":""2025-01-30T04:51:00.000Z""}","{""value"":""2025-01-30T04:51:01.000Z""}","{""value"":""2025-01-30T04:51:00.000Z""}","{""value"":""2025-01-30T04:50:30.000Z""}",4
"SKY:Line:19","NSR:Quay:53117",,"{""value"":""2025-01-30T04:53:00.000Z""}","{""value"":""2025-01-30T04:53:28.000Z""}","{""value"":""2025-01-30T04:53:00.000Z""}","{""value"":""2025-01-30T04:51:07.000Z""}",4
"SKY:Line:50E","NSR:Quay:53118",,"{""value"":""2025-01-30T04:54:00.000Z""}","{""value"":""2025-01-30T04:54:30.000Z""}","{""value"":""2025-01-30T04:54:00.000Z""}","{""value"":""2025-01-30T04:54:08.000Z""}",4
"SKY:Line:5","NSR:Quay:53118",,"{""value"":""2025-01-30T04:56:00.000Z""}","{""value"":""2025-01-30T04:56:25.000Z""}","{""value"":""2025-01-30T04:56:00.000Z""}","{""value"":""2025-01-30T04:55:50.000Z""}",4
"SKY:Line:6","NSR:Quay:53117",,"{""value"":""2025-01-30T05:06:00.000Z""}","{""value"":""2025-01-30T05:08:04.000Z""}","{""value"":""2025-01-30T05:06:00.000Z""}","{""value"":""2025-01-30T05:07:49.000Z""}",4
"SKY:Line:4","NSR:Quay:53118",,"{""value"":""2025-01-30T05:06:00.000Z""}","{""value"":""2025-01-30T05:07:05.000Z""}","{""value"":""2025-01-30T05:06:00.000Z""}",,4
"SKY:Line:12","NSR:Quay:53117",,"{""value"":""2025-01-30T05:08:00.000Z""}","{""value"":""2025-01-30T05:08:27.000Z""}","{""value"":""2025-01-30T05:08:00.000Z""}","{""value"":""2025-01-30T05:07:54.000Z""}",4
"SKY:Line:50E","NSR:Quay:53118",,"{""value"":""2025-01-30T05:09:00.000Z""}","{""value"":""2025-01-30T05:10:24.000Z""}","{""value"":""2025-01-30T05:09:00.000Z""}","{""value"":""2025-01-30T05:09:57.000Z""}",4
"SKY:Line:15","NSR:Quay:53118",,"{""value"":""2025-01-30T05:10:00.000Z""}","{""value"":""2025-01-30T05:10:12.000Z""}",,,4
"SKY:Line:10","NSR:Quay:53117",,"{""value"":""2025-01-30T05:11:00.000Z""}","{""value"":""2025-01-30T05:11:02.000Z""}","{""value"":""2025-01-30T05:11:00.000Z""}","{""value"":""2025-01-30T05:10:17.000Z""}",4
"SKY:Line:40","NSR:Quay:53119",,"{""value"":""2025-01-30T05:11:00.000Z""}","{""value"":""2025-01-30T05:11:01.000Z""}","{""value"":""2025-01-30T05:11:00.000Z""}","{""value"":""2025-01-30T05:10:23.000Z""}",4
"SKY:Line:19","NSR:Quay:53117",,"{""value"":""2025-01-30T05:13:00.000Z""}","{""value"":""2025-01-30T05:12:55.000Z""}","{""value"":""2025-01-30T05:13:00.000Z""}","{""value"":""2025-01-30T05:11:06.000Z""}",4
"SKY:Line:4","NSR:Quay:53118",,"{""value"":""2025-01-30T05:16:00.000Z""}","{""value"":""2025-01-30T05:16:53.000Z""}","{""value"":""2025-01-30T05:16:00.000Z""}","{""value"":""2025-01-30T05:16:37.000Z""}",4
