"lineRef","stopPointRef","serviceJourneyId","aimedDepartureTime","departureTime","aimedArrivalTime","arrivalTime","dayOfTheWeek","operatingDate","directionRef","sequenceNr"
"SKY:Line:27","NSR:Quay:53898","18185235_186803",,,"2025-01-27T14:48:00.000Z","2025-01-27T14:46:36.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185246_186803",,,"2025-01-27T16:45:00.000Z","2025-01-27T16:47:35.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185210_186803",,,"2025-01-27T08:05:00.000Z","2025-01-27T08:15:48.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185237_186803",,,"2025-01-27T15:08:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185209_186803",,,"2025-01-27T08:02:00.000Z","2025-01-27T07:58:07.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185227_186803",,,"2025-01-27T13:25:00.000Z","2025-01-27T13:25:34.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185239_186803",,,"2025-01-27T15:28:00.000Z","2025-01-27T15:25:00.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185224_186803",,,"2025-01-27T12:25:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185243_186803",,,"2025-01-27T16:05:00.000Z","2025-01-27T16:06:04.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185253_186803",,,"2025-01-27T19:05:00.000Z","2025-01-27T19:02:42.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185222_186803",,,"2025-01-27T11:45:00.000Z","2025-01-27T11:49:42.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185183_186803",,,"2025-01-27T07:02:00.000Z","2025-01-27T07:04:10.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185223_186803",,,"2025-01-27T12:05:00.000Z","2025-01-27T12:03:46.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185181_186803",,,"2025-01-27T06:42:00.000Z","2025-01-27T06:42:01.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185238_186803",,,"2025-01-27T15:18:00.000Z","2025-01-27T15:16:23.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185208_186803",,,"2025-01-27T07:52:00.000Z","2025-01-27T07:53:09.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185255_186803",,,"2025-01-27T19:45:00.000Z","2025-01-27T19:43:08.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185207_186803",,,"2025-01-27T07:42:00.000Z","2025-01-27T07:35:27.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185218_186803",,,"2025-01-27T10:25:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185173_186803",,,"2025-01-27T05:25:00.000Z","2025-01-27T05:24:17.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185195_186803",,,"2025-01-27T13:55:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185241_186803",,,"2025-01-27T15:45:00.000Z","2025-01-27T15:42:40.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185242_186803",,,"2025-01-27T15:55:00.000Z","2025-01-27T15:54:50.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185219_186803",,,"2025-01-27T10:45:00.000Z","2025-01-27T10:46:27.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185214_186803",,,"2025-01-27T09:05:00.000Z","2025-01-27T09:04:56.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185232_186803",,,"2025-01-27T14:15:00.000Z","2025-01-27T14:18:10.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185236_186803",,,"2025-01-27T20:25:00.000Z","2025-01-27T20:25:10.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185248_186803",,,"2025-01-27T17:25:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185228_186803",,,"2025-01-27T13:35:00.000Z","2025-01-27T13:35:42.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185240_186803",,,"2025-01-27T15:35:00.000Z","2025-01-27T15:35:27.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185177_186803",,,"2025-01-27T07:12:00.000Z","2025-01-27T07:14:39.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185206_186803",,,"2025-01-27T07:32:00.000Z","2025-01-27T07:28:35.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185212_186803",,,"2025-01-27T08:25:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185249_186803",,,"2025-01-27T17:45:00.000Z","2025-01-27T17:43:06.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185252_186803",,,"2025-01-27T18:45:00.000Z","2025-01-27T18:43:28.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185231_186803",,,"2025-01-27T14:05:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185244_186803",,,"2025-01-27T16:15:00.000Z","2025-01-27T16:14:58.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185221_186803",,,"2025-01-27T11:25:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185204_186803",,,"2025-01-27T06:15:00.000Z","2025-01-27T06:16:48.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185245_186803",,,"2025-01-27T16:25:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185203_186803",,,"2025-01-27T05:44:00.000Z","2025-01-27T05:45:59.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185211_186803",,,"2025-01-27T08:15:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185230_186803",,,"2025-01-27T21:05:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185176_186803",,,"2025-01-27T06:52:00.000Z","2025-01-27T06:52:25.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185174_186803",,,"2025-01-27T05:55:00.000Z","2025-01-27T05:55:57.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185217_186803",,,"2025-01-27T10:05:00.000Z","2025-01-27T10:04:51.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185254_186803",,,"2025-01-27T19:25:00.000Z","2025-01-27T19:24:33.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185226_186803",,,"2025-01-27T13:05:00.000Z","2025-01-27T13:06:26.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185250_186803",,,"2025-01-27T18:05:00.000Z","2025-01-27T18:03:33.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185251_186803",,,"2025-01-27T18:25:00.000Z","2025-01-27T18:25:09.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185216_186803",,,"2025-01-27T09:45:00.000Z","2025-01-27T09:48:05.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185175_186803",,,"2025-01-27T06:00:00.000Z","2025-01-27T06:06:06.000Z",1,"2025-01-27","1",25
"SKY:Line:27","NSR:Quay:53898","18185213_186803",,,"2025-01-27T08:45:00.000Z","2025-01-27T08:44:55.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185182_186803",,,"2025-01-27T06:25:00.000Z","2025-01-27T06:28:49.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185225_186803",,,"2025-01-27T12:45:00.000Z","2025-01-27T12:48:12.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185179_186803",,,"2025-01-27T05:35:00.000Z","2025-01-27T05:33:26.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185178_186803",,,"2025-01-27T05:45:00.000Z","2025-01-27T05:48:20.000Z",1,"2025-01-27","1",25
"SKY:Line:27","NSR:Quay:53898","18185256_186803",,,"2025-01-27T20:05:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185233_186803",,,"2025-01-27T21:25:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185229_186803",,,"2025-01-27T13:45:00.000Z","2025-01-27T13:43:38.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185202_186803",,,"2025-01-27T20:45:00.000Z","2025-01-27T20:46:28.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185199_186803",,,"2025-01-27T14:58:00.000Z","2025-01-27T14:57:25.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185205_186803",,,"2025-01-27T07:22:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185180_186803",,,"2025-01-27T06:05:00.000Z","2025-01-27T06:03:59.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185215_186803",,,"2025-01-27T09:25:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185234_186803",,,"2025-01-27T14:38:00.000Z",,1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185220_186803",,,"2025-01-27T11:05:00.000Z","2025-01-27T11:03:33.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185247_186803",,,"2025-01-27T17:05:00.000Z","2025-01-27T17:04:30.000Z",1,"2025-01-27","1",11
"SKY:Line:27","NSR:Quay:53898","18185198_186803",,,"2025-01-27T14:28:00.000Z","2025-01-27T14:27:37.000Z",1,"2025-01-27","1",11
"SKY:Line:6","NSR:Quay:53898","18004419_185541","2025-01-27T04:17:00.000Z","2025-01-27T04:17:05.000Z","2025-01-27T04:17:00.000Z","2025-01-27T04:17:05.000Z",1,"2025-01-27","1",12
"SKY:Line:6","NSR:Quay:53898","18004420_185541","2025-01-27T04:37:00.000Z","2025-01-27T04:38:41.000Z","2025-01-27T04:37:00.000Z",,1,"2025-01-27","1",12
"SKY:Line:12","NSR:Quay:53898","18004821_185543","2025-01-27T04:43:00.000Z","2025-01-27T04:44:57.000Z","2025-01-27T04:43:00.000Z","2025-01-27T04:44:57.000Z",1,"2025-01-27","2",17
"SKY:Line:5","NSR:Quay:53898","18186352_186818","2025-01-27T04:47:00.000Z","2025-01-27T04:46:54.000Z","2025-01-27T04:47:00.000Z","2025-01-27T04:46:34.000Z",1,"2025-01-27","1",10
"SKY:Line:16E","NSR:Quay:53898","18005606_185556","2025-01-27T04:47:00.000Z","2025-01-27T04:46:44.000Z","2025-01-27T04:47:00.000Z","2025-01-27T04:46:24.000Z",1,"2025-01-27","1",22
"SKY:Line:6","NSR:Quay:53898","18004421_185541","2025-01-27T04:57:00.000Z","2025-01-27T04:59:09.000Z","2025-01-27T04:57:00.000Z","2025-01-27T04:58:57.000Z",1,"2025-01-27","1",12
"SKY:Line:6","NSR:Quay:53899","18004520_185541","2025-01-27T04:59:00.000Z","2025-01-27T04:58:42.000Z","2025-01-27T04:59:00.000Z","2025-01-27T04:58:11.000Z",1,"2025-01-27","2",19
"SKY:Line:16E","NSR:Quay:53899","18005668_185556","2025-01-27T05:02:00.000Z","2025-01-27T05:02:01.000Z","2025-01-27T05:02:00.000Z","2025-01-27T05:01:07.000Z",1,"2025-01-27","2",19
"SKY:Line:5","NSR:Quay:53898","18186353_186818","2025-01-27T05:07:00.000Z","2025-01-27T05:06:14.000Z","2025-01-27T05:07:00.000Z","2025-01-27T05:06:06.000Z",1,"2025-01-27","1",10
"SKY:Line:16E","NSR:Quay:53898","18005607_185556","2025-01-27T05:07:00.000Z","2025-01-27T05:08:04.000Z","2025-01-27T05:07:00.000Z","2025-01-27T05:07:49.000Z",1,"2025-01-27","1",22
"SKY:Line:12","NSR:Quay:53898","18004682_185543","2025-01-27T05:11:00.000Z","2025-01-27T05:11:25.000Z","2025-01-27T05:11:00.000Z","2025-01-27T05:11:25.000Z",1,"2025-01-27","2",17
"SKY:Line:5","NSR:Quay:53899","18186458_186818","2025-01-27T05:11:00.000Z","2025-01-27T05:09:43.000Z","2025-01-27T05:11:00.000Z","2025-01-27T05:09:25.000Z",1,"2025-01-27","2",24
"SKY:Line:6","NSR:Quay:53898","18004422_185541","2025-01-27T05:17:00.000Z","2025-01-27T05:17:43.000Z","2025-01-27T05:17:00.000Z","2025-01-27T05:17:23.000Z",1,"2025-01-27","1",12
"SKY:Line:6","NSR:Quay:53899","18004521_185541","2025-01-27T05:19:00.000Z","2025-01-27T05:19:43.000Z","2025-01-27T05:19:00.000Z","2025-01-27T05:19:19.000Z",1,"2025-01-27","2",19
"SKY:Line:16E","NSR:Quay:53899","18005669_185556","2025-01-27T05:22:00.000Z","2025-01-27T05:23:06.000Z","2025-01-27T05:22:00.000Z","2025-01-27T05:22:45.000Z",1,"2025-01-27","2",19
"SKY:Line:12","NSR:Quay:53899","18004684_185543","2025-01-27T05:22:00.000Z","2025-01-27T05:22:30.000Z","2025-01-27T05:22:00.000Z","2025-01-27T05:20:45.000Z",1,"2025-01-27","1",24
